Name,Price,Rooms,M2,Parking,Link,Fuente
"Piso en rambla de Sant Jordi, 26, Les Casernes - Sant Jordi, Vilanova i la Geltrú",183.000€,2 hab.,65 m²,Si,https://www.idealista.com/inmueble/95919066/,idealista
"Casa o chalet independiente en calle dels Castanyers, Fondo Somella - Santa Maria, Vilanova i la Geltrú",425.000€,4 hab.,265 m²,Si,https://www.idealista.com/inmueble/98677501/,idealista
"Piso en Centre Vila - La Geltrú, Vilanova i la Geltrú",399.000€,4 hab.,148 m²,Si,https://www.idealista.com/inmueble/100740221/,idealista
"Chalet adosado en ronda Ibèrica, La Collada - Sis Camins, Vilanova i la Geltrú",320.000€,4 hab.,225 m²,Si,https://www.idealista.com/inmueble/100110119/,idealista
"Casa o chalet independiente en Aigua, Sant Joan - L'Aiguacuit, Vilanova i la Geltrú",210.000€,5 hab.,266 m²,No,https://www.idealista.com/inmueble/98851529/,idealista
"Piso en rambla de la Pau, Barri de Mar, Vilanova i la Geltrú",200.000€,4 hab.,96 m²,No,https://www.idealista.com/inmueble/100335534/,idealista
"Casa o chalet independiente en calle de l'Oreneta, L'Aragai - Prat de Vilanova, Vilanova i la Geltrú",970.000€,5 hab.,496 m²,Si,https://www.idealista.com/inmueble/99041231/,idealista
"Piso en calle de Cristòfol Raventós, Centre Vila - La Geltrú, Vilanova i la Geltrú",329.000€,3 hab.,122 m²,Si,https://www.idealista.com/inmueble/100507035/,idealista
"Piso en paseo del Carme, Barri de Mar, Vilanova i la Geltrú",375.000€,3 hab.,86 m²,No,https://www.idealista.com/inmueble/97615307/,idealista
"Chalet adosado en calle de Ventosa i Roig, Les Casernes - Sant Jordi, Vilanova i la Geltrú",480.000€,5 hab.,240 m²,Si,https://www.idealista.com/inmueble/98824460/,idealista
"Piso en rambla Exposició, 101, Les Casernes - Sant Jordi, Vilanova i la Geltrú",337.000€,3 hab.,101 m²,Si,https://www.idealista.com/inmueble/99773152/,idealista
"Chalet adosado en La Collada - Sis Camins, Vilanova i la Geltrú",368.000€,4 hab.,204 m²,Si,https://www.idealista.com/inmueble/100566173/,idealista
"Casa o chalet independiente en Barri de Mar, Vilanova i la Geltrú",2.800.000€,5 hab.,401 m²,Si,https://www.idealista.com/inmueble/95476002/,idealista
"Casa o chalet independiente en La Collada - Sis Camins, Vilanova i la Geltrú",628.000€,4 hab.,293 m²,Si,https://www.idealista.com/inmueble/98841958/,idealista
"Chalet pareado en Torre del Vallés, La Collada - Sis Camins, Vilanova i la Geltrú",340.000€,4 hab.,198 m²,Si,https://www.idealista.com/inmueble/99827022/,idealista
"Piso en calle Boia,Rambla de Joan Baptista Pieralli, s/n, Barri de Mar, Vilanova i la Geltrú",490.000€,4 hab.,103 m²,No,https://www.idealista.com/inmueble/100952886/,idealista
"Piso en calle Boia,Rambla de Joan Baptista Pieralli, s/n, Barri de Mar, Vilanova i la Geltrú",277.000€,2 hab.,71 m²,No,https://www.idealista.com/inmueble/100952807/,idealista
"Casa o chalet independiente en Rossinyol, 19, L'Aragai - Prat de Vilanova, Vilanova i la Geltrú",599.000€,5 hab.,442 m²,Si,https://www.idealista.com/inmueble/100891966/,idealista
"Piso en calle Boia,Rambla de Joan Baptista Pieralli, s/n, Barri de Mar, Vilanova i la Geltrú",360.000€,3 hab.,89 m²,No,https://www.idealista.com/inmueble/100952812/,idealista
"Piso en riu segura, s/n, La Collada - Sis Camins, Vilanova i la Geltrú",390.000€,4 hab.,150 m²,Si,https://www.idealista.com/inmueble/100925860/,idealista
"Piso en calle de Sant Pere, Centre Vila - La Geltrú, Vilanova i la Geltrú",175.000€,3 hab.,78 m²,No,https://www.idealista.com/inmueble/99795921/,idealista
"Chalet adosado en aigua, 20, Sant Joan - L'Aiguacuit, Vilanova i la Geltrú",210.000€,5 hab.,266 m²,No,https://www.idealista.com/inmueble/100899481/,idealista
"Piso en Racó de Santa Llúcia, L'Aragai - Prat de Vilanova, Vilanova i la Geltrú",425.000€,2 hab.,81 m²,Si,https://www.idealista.com/inmueble/100978455/,idealista
"Chalet pareado en calle de Lurdes, La Collada - Sis Camins, Vilanova i la Geltrú",358.000€,4 hab.,157 m²,Si,https://www.idealista.com/inmueble/100993625/,idealista
"Piso en calle d'Olèrdola, Sant Joan - L'Aiguacuit, Vilanova i la Geltrú",420.000€,4 hab.,124 m²,Si,https://www.idealista.com/inmueble/101038313/,idealista
"Chalet pareado en calle de Lurdes, La Collada - Sis Camins, Vilanova i la Geltrú",358.000€,4 hab.,157 m²,Si,https://www.idealista.com/inmueble/100993625/,idealista
"Piso en rambla Josep Antoni Vidal, Centre Vila - La Geltrú, Vilanova i la Geltrú",390.000€,4 hab.,117 m²,No,https://www.idealista.com/inmueble/100842283/,idealista
"Piso en Racó de Santa Llúcia, L'Aragai - Prat de Vilanova, Vilanova i la Geltrú",425.000€,2 hab.,81 m²,Si,https://www.idealista.com/inmueble/100978455/,idealista
"Piso en calle de l'Economia, Centre Vila - La Geltrú, Vilanova i la Geltrú",178.000€,2 hab.,85 m²,No,https://www.idealista.com/inmueble/98003901/,idealista
"Piso en calle Albert Salvany, Centre Vila - La Geltrú, Vilanova i la Geltrú",147.000€,3 hab.,64 m²,No,https://www.idealista.com/inmueble/100679314/,idealista
"Casa o chalet independiente en calle de l'Oreneta, L'Aragai - Prat de Vilanova, Vilanova i la Geltrú",797.000€,7 hab.,347 m²,Si,https://www.idealista.com/inmueble/94826356/,idealista
"Piso en Barri de Mar, Vilanova i la Geltrú",188.000€,3 hab.,81 m²,No,https://www.idealista.com/inmueble/99273144/,idealista
"Piso en calle Canarias, 62, Barri de Mar, Vilanova i la Geltrú",368.500€,3 hab.,112 m²,No,https://www.idealista.com/inmueble/94378267/,idealista
"Chalet en calle de la Ginesta, La Collada - Sis Camins, Vilanova i la Geltrú",252.000€,4 hab.,216 m²,Si,https://www.idealista.com/inmueble/100907643/,idealista
"Dúplex en avenida de la Torre del Vallès, 78, La Collada - Sis Camins, Vilanova i la Geltrú",389.944€,3 hab.,103 m²,No,https://www.idealista.com/inmueble/100492741/,idealista
"Piso en avenida de la Torre del Vallès, 78, La Collada - Sis Camins, Vilanova i la Geltrú",379.343€,4 hab.,114 m²,No,https://www.idealista.com/inmueble/100492876/,idealista
"Piso en avenida de la Torre del Vallès, 78, La Collada - Sis Camins, Vilanova i la Geltrú",379.343€,4 hab.,114 m²,No,https://www.idealista.com/inmueble/100492480/,idealista
"Piso en Menendez Pelayo, Sant Joan - L'Aiguacuit, Vilanova i la Geltrú",255.000€,3 hab.,85 m²,Si,https://www.idealista.com/inmueble/100503273/,idealista
"Piso en calle de Josep Coroleu, Sant Joan - L'Aiguacuit, Vilanova i la Geltrú",255.000€,3 hab.,110 m²,No,https://www.idealista.com/inmueble/98295154/,idealista
"Piso en Centre Vila - La Geltrú, Vilanova i la Geltrú",207.000€,3 hab.,63 m²,No,https://www.idealista.com/inmueble/96838726/,idealista
"Ático en calle de l'Alosa, 8, L'Aragai - Prat de Vilanova, Vilanova i la Geltrú",450.000€,5 hab.,149 m²,No,https://www.idealista.com/inmueble/97052876/,idealista
"Casa o chalet independiente en Corral d´en mila, s/n, Nord, Vilanova i la Geltrú",280.000€,5 hab.,132 m²,Si,https://www.idealista.com/inmueble/100905673/,idealista
"Chalet adosado en Meridional, Barri de Mar, Vilanova i la Geltrú",237.800€,4 hab.,120 m²,No,https://www.idealista.com/inmueble/100971986/,idealista
"Piso en Joan i Ricart, Les Casernes - Sant Jordi, Vilanova i la Geltrú",235.000€,3 hab.,110 m²,Si,https://www.idealista.com/inmueble/100158531/,idealista
"Chalet en Centre Vila - La Geltrú, Vilanova i la Geltrú",244.000€,3 hab.,135 m²,No,https://www.idealista.com/inmueble/99263541/,idealista
"Piso en Barri de Mar, Vilanova i la Geltrú",420.000€,3 hab.,102 m²,Si,https://www.idealista.com/inmueble/100539279/,idealista
"Chalet adosado en Torre d'enveja, Sant Joan - L'Aiguacuit, Vilanova i la Geltrú",430.000€,4 hab.,270 m²,Si,https://www.idealista.com/inmueble/99426987/,idealista
"Piso en calle Olivella, Sant Joan - L'Aiguacuit, Vilanova i la Geltrú",188.000€,4 hab.,95 m²,No,https://www.idealista.com/inmueble/100375901/,idealista
"Chalet adosado en la collada, La Collada - Sis Camins, Vilanova i la Geltrú",280.000€,3 hab.,190 m²,Si,https://www.idealista.com/inmueble/100180686/,idealista
"Piso en calle de la Moixarra, L'Aragai - Prat de Vilanova, Vilanova i la Geltrú",398.000€,2 hab.,62 m²,Si,https://www.idealista.com/inmueble/100674375/,idealista
"Piso en rambla del Castell, Centre Vila - La Geltrú, Vilanova i la Geltrú",250.000€,3 hab.,112 m²,No,https://www.idealista.com/inmueble/100674379/,idealista
